platform,title,amount,commission,totalProfit,orderType,image
Amazon,Aceooly Slim Portable Fan,9.0,0.9,9.9,single,https://i.postimg.cc/HxGBVH65/IMG-20251108
Amazon,BS-MALL Makeup Brush Set 18 Pcs,22.59,0.0,22.59,single,https://i.postimg.cc/XqYVFXX
Amazon,Carder Clothes Storage Bag Organizer,29.99,0.0,29.99,single,https://i.postimg.cc/syfX6
Amazon,Classic Aviator Sunglasses for Men,17.99,0.0,17.99,single,https://i.postimg.cc/QNPbnyc
Amazon,FUNTOUCH Rechargeable Travel Mirror,34.07,0.0,34.07,single,https://i.postimg.cc/
Amazon,GreenPan Elite Cooker,8.99,0.0,8.99,single,https://i.postimg.cc/
Amazon,Memory Foam Neck Pillow,24.07,0.0,24.07,single,https://i.postimg.cc/
Amazon,SOLY HUX Y2K Baggy Shirts,9.99,0.9,9.9,single,https://i.postimg.cc/
Amazon,SOLY HUX Mens Jersey,9.99,0.9,9.9,single,https://i.postimg.cc/
Amazon,ARZOPA Portable Monitor 15.6,199.0,0.0,199.0,single,https://i.postimg.cc/
Alibaba,3-Tier Modular Drill Holder,20.5,0.0,20.5,single,https://i.postimg.cc/
Alibaba,DEWALT MAX Cordless Drill,35.99,0.0,35.99,single,https://i.postimg.cc/
Alibaba,Florence Luggage by Mills,14.99,0.0,14.99,single,https://i.postimg.cc/
Alibaba,Furhome Clothes Storage Bins,12.99,0.0,12.99,single,https://i.postimg.cc/
Alibaba,Kasa Smart Plug HS103P2,32.99,0.0,32.99,single,https://i.postimg.cc/
Alibaba,Travel Backpack for Women,15.99,0.0,15.99,single,https://i.postimg.cc/
Alibaba,UGREEN Nexode 65W Charger,11.99,0.0,11.99,single,https://i.postimg.cc/
Alibaba,Neutrogena Hydro Foundation,8.79,0.0,8.79,single,https://i.postimg.cc/
Alibaba,Burley Bark Ranger Pet Bike Trailer,99.52,0.0,99.52,single,https://i.postimg.cc/
AliExpress,DJI Mini 4K Drone,294.52,35.34,329.86,single,https://i.postimg.cc/
AliExpress,FEIERDUN Adjustable Dumbbells,24.99,0.0,24.99,single,https://i.postimg.cc/
AliExpress,KAMRUF ESN EI Mini PC,199.99,0.0,199.99,single,https://i.postimg.cc/
AliExpress,Philips 3200 Espresso Machine,104.97,0.0,104.97,single,https://i.postimg.cc/
AliExpress,Lakimi Vacuum Investing Machine,52.5,0.0,52.5,single,https://i.postimg.cc/
AliExpress,Shark AI Ultra Robot Vacuum,185.99,0.0,185.99,single,https://i.postimg.cc/
